DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM
XX/08/21;04:15:46;APPROACH;AIR;AIR;AIR;8008;8008.00;1013.0;4824;2629;19.25;-15.929.325;-48.081.429;266;224;161;154.62;0.390;-1061;1.02;-0.00;-0.02;9;100.55;28;-5.8;53796;1;-0.35;3.0;0.0;4.57;0.00;32.8;31.9;73.5;74.1;514;550;0;0;3325.77;1649.30;1676.47;431.82;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.23;-3.55;1.19;1.58;0.25;5.47
XX/08/21;04:15:47;APPROACH;AIR;AIR;AIR;7996;7996.00;1013.0;4812;2629;19.25;-15.928.379;-48.081.310;266;223;161;161.14;0.389;-988;1.02;0.00;-0.02;9;100.20;28;-5.8;53796;2;0.00;3.2;0.1;4.40;0.00;32.6;31.9;73.5;74.1;514;550;0;0;3326.01;1649.42;1676.59;431.82;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.23;-3.65;1.19;1.18;0.32;5.50
XX/08/21;04:15:48;APPROACH;AIR;AIR;AIR;7984;7984.00;1013.0;4800;2629;19.25;-15.927.022;-48.081.497;265;223;161;161.14;0.388;-899;1.03;-0.00;-0.03;9;99.84;28;-5.9;53796;2;0.00;3.3;0.1;4.40;0.00;32.6;31.9;73.5;74.1;514;550;0;0;3326.25;1649.54;1676.71;431.82;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.32;-3.65;1.53;1.18;0.25;5.50
XX/08/21;04:15:49;APPROACH;AIR;AIR;AIR;7972;7972.00;1013.0;4788;2629;19.25;-15.925.668;-48.081.684;264;222;161;161.14;0.387;-840;1.04;0.00;-0.02;10;99.49;28;-5.9;53796;2;0.00;3.5;0.1;4.40;0.00;32.6;31.9;73.5;74.1;514;550;0;0;3326.49;1649.66;1676.83;431.82;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.32;-3.60;1.53;1.01;0.25;5.44
XX/08/21;04:15:50;APPROACH;AIR;AIR;AIR;7960;7960.00;1013.0;4776;2629;19.25;-15.924.448;-48.081.867;263;221;161;161.14;0.386;-801;1.04;-0.00;-0.03;10;99.14;28;-5.9;53796;2;0.00;3.7;0.1;4.40;0.00;32.6;31.9;73.5;74.1;514;551;0;0;3326.73;1649.78;1676.95;431.82;435.45;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.14;-3.60;1.64;1.01;0.32;5.29
XX/08/21;04:15:51;APPROACH;AIR;AIR;AIR;7952;7952.00;1013.0;4768;2629;19.25;-15.923.229;-48.082.058;262;221;161;161.14;0.385;-734;1.02;0.00;-0.03;10;99.14;28;-6.0;53796;2;0.00;3.7;0.0;4.22;0.00;32.6;31.8;73.5;74.1;515;552;0;0;3326.97;1649.90;1677.07;431.82;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.14;-3.20;1.64;0.79;0.32;5.12
XX/08/21;04:15:52;APPROACH;AIR;AIR;AIR;7944;7944.00;1013.0;4760;2629;19.25;-15.922.313;-48.082.478;261;220;161;161.14;0.383;-650;0.99;0.00;-0.03;10;99.14;28;-6.0;53796;2;0.00;3.5;-0.1;4.04;0.00;32.6;31.8;73.5;74.1;515;552;0;0;3327.21;1650.02;1677.19;431.82;435.45;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.20;1.81;0.79;0.32;5.09
XX/08/21;04:15:53;APPROACH;AIR;AIR;AIR;7932;7932.00;1013.0;4748;2629;19.25;-15.921.095;-48.082.901;260;219;161;161.14;0.381;-634;0.99;0.00;-0.03;10;98.79;28;-6.0;53796;2;0.35;3.5;-0.0;4.04;0.00;32.6;31.8;73.5;74.1;516;552;0;0;3327.45;1650.14;1677.31;435.45;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.25;1.81;0.79;0.25;5.09
XX/08/21;04:15:54;APPROACH;AIR;AIR;AIR;7924;7924.00;1013.0;4740;2629;19.25;-15.920.145;-48.083.328;259;218;161;161.14;0.380;-623;1.00;0.00;-0.03;10;98.79;28;-6.0;53796;2;0.00;3.5;-0.0;4.04;0.00;32.6;31.8;73.5;74.1;516;552;0;0;3327.69;1650.26;1677.43;431.82;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.25;1.70;0.79;0.32;5.09
XX/08/21;04:15:55;APPROACH;AIR;AIR;AIR;7916;7916.00;1013.0;4732;2629;19.25;-15.918.792;-48.083.752;258;218;161;161.14;0.379;-576;0.99;0.00;-0.03;10;98.79;28;-6.0;53796;2;0.00;3.5;-0.0;3.87;0.00;32.5;31.8;73.5;74.1;515;552;0;0;3327.93;1650.38;1677.55;431.82;431.82;9920.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.20;1.70;1.92;0.25;5.09
